"Subj","Gender","Age","SES","Siblings","Numeracy","SOEP","SOEPdrive","SOEPfinance","SOEPhealth","SOEPoccup","SOEPrecreat","SOEPsocial","WMC","BartPumps","HoltRisk","LottRisk","LottEV","Concentration","Tiredness","Motivation","Happy","Angry","Sad","Afraid","SOEPMeans","Positive","Negative","RiskPreferences","AngryRecoded","SadRecoded","AfraidRecoded","Affect","LottRiskZScore","LottEVZScore","BartPumpsZScore"
64190501,1,26,4,0,3,4,5,3,5,5,7,3,0.518125,29.2,4,0.36,0.76,69,30,80,70,59,40,39,4.66666666666667,75,46,-0.657111480696869,41,60,61,58,-1.49098517432666,0.201862354914032,-0.682211622677977
64100101,1,26,4,1,2,2,1,1,6,5,2,6,0.853482142857143,34.27,4,0.46,0.9,69,64,63,65,11,15,4,3.5,64,10,0.428915376732719,89,85,96,83.75,-0.0157359912857694,1.51022947009758,-0.207747348613649
68037501,2,32,7,3,4,8,4,1,11,9,10,9,0.873065476190476,42.17,6,0.54,0.84,80,61,70,77,27,35,66,7.33333333333333,73.5,42.6666666666667,0.881840006569411,73,65,34,62.25,1.16446335514694,0.949500706447486,0.531555958113804
64170601,2,22,4,1,0,3,1,6,3,5,4,3,0.609871031746032,21.37,4,0.36,0.72,100,0,99,99,10,9,80,3.66666666666667,99,33,-1.02596871193033,90,91,20,75,-1.49098517432666,-0.171956820852695,-1.41496414061164
68016201,1,24,3,1,3,6,5,3,9,8,10,2,0.893571428571428,51.47,6,0.52,0.9,80,41,79,79,20,30,30,6.16666666666667,79,26.6666666666667,1.26050600978445,80,70,70,74.75,0.869413518538766,1.51022947009758,1.40187504071701
68017001,2,23,4,1,3,4,7,7,5,5,6,5,0.728015873015873,26.9,3,0.4,0.68,70,30,89,90,10,0,20,5.83333333333333,89.5,10,-0.781371107877384,90,100,80,90,-0.900885501110305,-0.545775996619422,-0.897451825902426
68031601,1,25,7,2,1,6,2,2,2,8,8,2,0.580853174603175,23.37,4,0.3,0.66,83,49,94,78,22,27,10,4,86,19.6666666666667,-1.44553967171914,78,73,90,79.75,-2.3761346841512,-0.732685584502785,-1.22779874650343
68046501,2,31,2,2,0,8,8,9,9,9,8,8,0.628095238095238,52.93,1,0.32,0.78,25,54,49,29,51,66,70,8.5,39,62.3333333333333,-0.0512690421098722,49,34,30,35.5,-2.08108484754302,0.388771942797396,1.53850577841601
68001901,1,21,3,4,0,10,6,2,5,2,11,2,0.654117063492063,29.07,5,0.52,0.84,88,62,93,83,22,56,36,4.66666666666667,88,38,0.374845617230413,78,44,64,67.25,0.869413518538766,0.949500706447486,-0.694377373295011
64103801,2,21,4,1,1,5,2,6,8,5,9,8,0.748323412698413,49.57,5,0.46,0.8,46,37,62,47,35,53,38,6.33333333333333,54.5,42,0.594671151903064,65,47,62,55.25,-0.0157359912857694,0.57568153068076,1.2240679163142
68015001,2,23,7,1,1,6,8,4,3,8,7,6,0.554464285714286,50.53,7,0.56,0.68,79,50,69,65,0,40,20,6,67,20,0.74254816687395,100,60,80,76.25,1.45951319175512,-0.545775996619422,1.31390730548615
64056701,2,23,3,1,4,8,4,6,10,5,3,5,0.878343253968254,27.33,3,0.54,0.72,76,17,81,84,8,7,17,5.5,82.5,10.6666666666667,0.0450984227083633,92,93,83,88,1.16446335514694,-0.171956820852695,-0.857211266169159
64051501,1,28,4,1,4,6,4,3,5,8,7,8,0.916369047619047,43.13,7,0.42,0.8,70,0,95,94,20,9,60,5.83333333333333,94.5,29.6666666666667,0.197080404488127,80,91,40,76.25,-0.605835664502127,0.57568153068076,0.621395347285748
68001201,1,25,10,3,0,3,8,1,8,6,6,4,0.624642857142857,15.73,5,0.44,0.68,39,70,89,39,0,59,68,5.5,64,42.3333333333333,-0.933110792170061,100,41,32,53,-0.310785827893948,-0.545775996619422,-1.94277055199681
68033601,1,21,6,1,2,3,3,2,1,3,1,3,0.597291666666667,45.23,3,0.46,0.78,40,84,53,82,53,20,58,2.16666666666667,67.5,43.6666666666667,0.396984987537,47,80,42,62.75,-0.0157359912857694,0.388771942797396,0.817919011099374
64204501,2,22,9,1,2,5,1,1,8,1,1,3,0.598452380952381,44.23,6,0.42,0.78,61,59,70,67,14,14,33,2.5,68.5,20.3333333333333,0.169090864113512,86,86,67,76.5,-0.605835664502127,0.388771942797396,0.724336314045266
64069601,1,24,6,2,1,7,4,4,9,7,8,10,0.713263888888889,35,5,0.46,0.82,80,39,90,85,12,31,16,7,87.5,19.6666666666667,0.202474382504734,88,69,84,81.5,-0.0157359912857694,0.762591118564122,-0.139431979764151
64144501,1,23,3,3,1,9,6,8,7,9,10,2,0.692470238095238,20.8,6,0.48,0.78,50,45,98,55,40,50,47,7,76.5,45.6666666666667,-0.266740163270893,60,50,53,54.5,0.279313845322408,0.388771942797396,-1.46830627793248
68025501,1,24,2,0,1,8,2,3,6,8,5,7,0.878134920634921,41.5,5,0.44,0.86,85,74,93,30,42,58,11,5.16666666666667,61.5,37,0.431493339174818,58,42,89,54.75,-0.310785827893948,1.13641029433085,0.468855551087551
68031801,1,22,4,0,2,6,2,3,8,5,8,4,0.780525793650793,9.97,3,0.48,0.9,91,30,99,60,0,35,69,5,79.5,34.6666666666667,-0.230754523869496,100,65,31,64,0.279313845322408,1.51022947009758,-2.48180688702847
64079801,2,22,3,2,0,9,8,6,8,8,8,8,0.698492063492063,46.03,7,0.54,0.62,69,14,80,92,6,3,0,7.66666666666667,86,3,0.316914587873364,94,97,100,95.75,1.16446335514694,-1.10650476026951,0.892785168742661
68018401,2,23,5,3,3,4,2,7,4,5,7,6,0.575664682539683,46.17,6,0.58,0.9,39,59,67,65,20,32,35,5.16666666666667,66,29,1.39022641493037,80,68,65,69.5,1.7545630283633,1.51022947009758,0.905886746330236
68001501,2,24,6,4,1,7,4,5,7,5,8,8,0.780128968253968,38.53,3,0.54,0.82,89,28,100,100,0,0,0,6.16666666666667,100,0,0.705989804849306,100,100,100,100,1.16446335514694,0.762591118564122,0.190914940836851
68047101,1,22,4,3,1,9,2,5,7,2,8,6,0.692847222222222,43.87,4,0.38,0.52,66,33,84,61,31,43,30,5,72.5,34.6666666666667,-0.848780498099675,69,57,70,64.25,-1.19593533771848,-2.04105269968633,0.690646543105787
68034001,2,24,4,1,0,5,5,4,7,6,6,5,0.627430555555556,23.27,5,0.4,0.76,67,61,92,60,29,35,58,5.5,76,40.6666666666667,-0.64539338746837,71,65,42,59.5,-0.900885501110305,0.201862354914032,-1.23715701620884
68044201,2,30,7,1,4,5,3,6,1,6,7,10,0.745803571428571,36.33,5,0.46,0.78,20,58,71,59,40,19,80,5.5,65,46.3333333333333,0.119356319609813,60,81,20,55,-0.0157359912857694,0.388771942797396,-0.0149669926821871
68010501,2,22,5,0,3,9,7,5,5,7,9,3,0.869543650793651,28.17,5,0.46,0.72,63,40,32,59,70,2,71,6,45.5,47.6666666666667,-0.322098204260724,30,98,29,54,-0.0157359912857694,-0.171956820852695,-0.778601800643708
68012401,1,20,4,2,1,7,4,1,3,5,8,2,0.730386904761905,46.17,4,0.32,0.7,79,31,89,70,19,10,11,3.83333333333333,79.5,13.3333333333333,-0.511354836649614,81,90,89,82.5,-2.08108484754302,-0.358866408736059,0.905886746330236
64205801,1,21,10,1,3,7,5,3,3,6,8,4,0.871825396825397,43.5,4,0.46,0.8,79,27,74,70,24,19,11,4.83333333333333,72,18,0.405322161530253,76,81,89,79,-0.0157359912857694,0.57568153068076,0.656020945195767
64082001,1,22,5,1,1,7,3,2,7,4,9,5,0.843571428571429,29.8,5,0.44,0.78,75,62,92,84,26,45,6,5,88,25.6666666666667,-0.182691963180688,74,55,94,76.75,-0.310785827893948,0.388771942797396,-0.626062004445512
